
brabant_zuidoost-eenzaamheid-son_en_breugel-65+-sterkeenzaam,7


brabant_zuidoost-eenzaamheid-valkenswaard-19 t/m 64-eenzaam,42
brabant_zuidoost-eenzaamheid-valkenswaard-19 t/m 64-sterkeenzaam, 7

brabant_zuidoost-eenzaamheid-valkenswaard-65+-eenzaam,48
brabant_zuidoost-eenzaamheid-valkenswaard-65+-sterkeenzaam,10


brabant_zuidoost-eenzaamheid-veldhoven-19 t/m 64-eenzaam,38
brabant_zuidoost-eenzaamheid-veldhoven-19 t/m 64-sterkeenzaam, 8

brabant_zuidoost-eenzaamheid-veldhoven-65+-eenzaam,54
brabant_zuidoost-eenzaamheid-veldhoven-65+-sterkeenzaam,11


brabant_zuidoost-eenzaamheid-waalre-19 t/m 64-eenzaam,40
brabant_zuidoost-eenzaamheid-waalre-19 t/m 64-sterkeenzaam, 8

brabant_zuidoost-eenzaamheid-waalre-65+-eenzaam,50
brabant_zuidoost-eenzaamheid-waalre-65+-sterkeenzaam,10


























